,Station,Latitude,Longitude
473,SA.NJRNS,17.6521,44.1923
474,SA.NRYS,27.08,49.16
475,SA.NSAFS,23.49,38.82028
476,SA.OLAS,26.248,37.629
477,SA.QLABS,27.8551,37.927609999999994
478,SA.QLBS,28.6517,37.5942
479,SA.QNF01,19.52887,41.16657
480,SA.QNF02,19.05862,41.48704
481,SA.QNFDS,19.799,40.942
482,SA.QREAT,31.5,37.567
483,SA.QSMS,26.671640000000004,42.68528
484,SA.QYSM,27.854,46.875
485,SA.RHT01,24.23847,39.95729
486,SA.RHT02,24.50527,40.05757
487,SA.RHT03,24.41355,40.0374
488,SA.RHT04,24.053,39.865
489,SA.RHT05,23.909,39.161
490,SA.RHT06,24.29225,39.27865
491,SA.RHT07,24.6658,39.0403
492,SA.RHT08,24.81275,39.61715
493,SA.RHT09,24.6752,39.7618
494,SA.RHT11,24.916,39.691
495,SA.RHT13,24.297,39.561
496,SA.RHT14,24.386,39.757
497,SA.RHT15,24.173,39.839
498,SA.RHT16,23.4706,40.1735
499,SA.RHWAS,19.0708,44.0707
500,SA.RMAH,25.345,46.884
501,SA.RQBS,27.34,45.961
502,SA.RSHS,28.2998,34.7967
503,SA.RYNS,21.3223,42.8478
504,SA.SHBS,21.0048,39.6828
505,SA.SHMS,21.48337,40.02993
506,SA.SHRS,21.5008,40.1995
507,SA.SLWS,24.7976,50.6438
508,SA.SMAN,26.178,48.065
509,SA.SRFHA,29.034,44.605
510,SA.SUMJS,24.7521,37.3997
511,SA.TATS,19.541,43.4782
512,SA.TBKS,28.2292,36.5504
513,SA.TRAS,25.0596,38.567
514,SA.TREF,31.257,39.356
515,SA.UMJS,25.2322,37.3109
516,SA.WELA,31.781,38.909
517,SA.WJHS,26.7319,36.3934
518,SA.WRFHA,29.582,43.1146
519,SA.WTBKS,28.08418,35.91275
520,SA.YNBS,24.3395,37.9939
521,SA.YOBS,24.3575,38.7432
522,TJ.CHGR,38.5772,68.81536
523,TJ.CHRDR,40.39,69.67
524,TJ.DUSH,38.6144,68.9705
525,TJ.GARM,39.0,70.316
526,TJ.GEZN,39.28165,67.7177
527,TJ.IGRN,38.22,69.33
528,TJ.MANEM,37.53,71.66
529,TJ.SHAA,37.562,68.1228
530,UE.MZWR,23.76,53.88
531,UE.SLWR,24.07,51.69
532,UE.UMZA,22.71,55.16
533,XG.AGIN,38.94,38.71
534,XG.AHLT,38.75,42.48
535,XG.BNGL,38.955,40.64
536,XG.BTLS,38.43,42.12
537,XG.BYBT,40.24,40.27
538,XG.BYKN,38.17,41.78
539,XG.CMCY,39.9329,42.7421
540,XG.DGRL,41.06,43.33
541,XG.DGSU,39.13,42.73
542,XG.DYBR,37.82,40.32
543,XG.ERGN,38.26,39.73
544,XG.EZRM,40.1,41.36
545,XG.HAMR,39.61,42.99
546,XG.HINS,39.3489,41.6972
547,XG.HRPT,38.7043,39.2453
548,XG.HRSN,39.9453,42.2874
549,XG.ILIC,39.45,38.57
550,XG.IMRL,39.88,38.12
551,XG.KARS,40.62,43.07
552,XG.KOTK,40.22,43.01
553,XG.KRLV,39.37,40.99
554,XG.KTLN,37.95,41.71
555,XG.KYPR,37.56,41.17
556,XG.MRDN,37.2897,40.7
557,XG.MSDY,40.46,37.78
558,XG.MUSH,38.76,41.48
559,XG.SILN,38.14,41.04
560,XG.SIRN,40.2,39.12
561,XG.UZML,39.71,39.72
562,XI.AAUS,9.035,38.767
563,XI.AFIF,23.931,43.04
564,XI.BISH,19.9228,42.6901
565,XI.DMRK,10.308,37.729
566,XI.HALM,22.8454,44.3173
567,XI.RANI,21.3116,42.7761
568,XI.RAYN,23.522,45.5008
569,XI.RIYD,24.722,46.643
570,XI.SODA,18.2921,42.3769
571,XI.TAIF,21.281,40.349
572,XI.TEND,11.7925,41.0043
573,XI.UQSK,25.789,42.36
574,XW.ADBA,13.55,44.84
575,XW.ADEN,12.78,44.98
576,XW.ADUA,15.105,49.03
577,XW.ALJZ,18.62,56.54
578,XW.ANID,15.47,43.2
579,XW.ARUT,15.403329999999999,50.96667
580,XW.BSRN,18.97,55.97
581,XW.DABI,15.14,44.25
582,XW.DALA,13.91,44.71
583,XW.DAMT,14.09,44.68
584,XW.DEMT,17.73,55.07
585,XW.DERU,16.84,51.83
586,XW.DHAH,19.06,57.55
587,XW.DKUM,13.27,44.76
588,XW.DRAK,19.02,57.76
589,XW.DUQM,19.23167,57.59
590,XW.EYUN,14.635,49.155
591,XW.FASH,15.44,50.95
592,XW.GASH,18.43,56.11
593,XW.GBRA,19.09,56.55
594,XW.GEAN,17.0,49.725
595,XW.GHAD,16.35429,52.19571
596,XW.GHAY,16.22,52.21
597,XW.GHDI,15.64,52.16
598,XW.HAHY,15.21,49.09
599,XW.HAKI,13.12,43.87
600,XW.HAS3,17.49,55.22
601,XW.HATT,17.32,52.11
602,XW.HBAB,19.23667,56.70333
603,XW.HN01,18.25,55.88
604,XW.HOTA,13.06,44.88
605,XW.KARE,17.16,51.93
606,XW.KHAW,13.81,43.25
607,XW.KHLA,13.8,44.81
608,XW.KRWN,19.27,57.21
609,XW.LUSA,16.51,52.325
610,XW.MADQ,16.21,51.4
611,XW.MAWI,15.47,43.52
612,XW.MAZI,16.62,52.96
613,XW.MIRB,16.99,54.7
614,XW.MKRZ,19.41,57.645
615,XW.MKZA,19.37,56.35
616,XW.MOKA,13.31,43.26
617,XW.MUKA,14.49,49.04
618,XW.NIMR,18.54,55.84
619,XW.OMRN,18.44,55.3
620,XW.QISH,15.51,51.69
621,XW.RIMA,18.83,56.32
622,XW.RUSA,14.71,44.35
623,XW.SAAH,15.675,48.905
624,XW.SABA,18.76,56.64
625,XW.SADA,19.335,57.63
626,XW.SAHL,18.9,57.04
627,XW.SANA,15.39,44.21
628,XW.SAUM,16.14,49.29
629,XW.SAWQ,18.16,56.43
630,XW.SAYT,15.415,51.085
631,XW.SEYU,15.93,48.8
632,XW.SHA2,18.12,55.74
633,XW.SHIB,15.5,43.91
634,XW.SHUH,15.61,50.92
635,XW.SIMA,17.56,52.32
636,XW.SUGH,14.8,43.44
637,XW.SUYR,19.56,57.69
638,XW.TABU,15.93,52.14
639,XW.TAMR,15.78,48.95
640,XW.TAMU,17.29,49.93
641,XW.TARI,16.05,48.98
642,XW.TAWI,15.48,43.72
643,XW.THAT,18.01,56.27
644,XW.TINA,16.53,52.08
645,XW.UAYA,15.71,42.69
646,XW.WASH,16.34,49.51
647,XW.WAYM,17.92,55.64
648,XW.YSLE,14.94,44.28
649,XW.ZUWA,15.73,43.02
650,YB.A1,29.4411,51.3067
651,YB.A2,29.7872,51.7822
652,YB.A3,29.3486,51.8608
653,YB.AT31,38.57,34.51
654,YB.B1,29.88883,52.53383
655,YB.B2,30.1883,52.5039
656,YB.B3,30.1328,53.0561
657,YB.C2,32.1487,53.8061
658,YB.D1,32.23675,54.60585
659,YB.D2,32.4341,54.7063
660,YB.D3,32.4066,54.0931
661,YB.M1,29.0494,51.3189
662,YB.M2,29.7131,52.2296
663,YB.M3,30.2519,53.2461
664,YB.M4,30.7145,53.2799
665,YB.M5,31.0498,52.8536
666,YB.M6,31.5761,53.8114
